model,name,confidence,error_x1,error_x2
first,grass,0.865969,4.5,6.0
first,sapling,0.84567,-1.5,4.0
first,tree_evergreen_1,0.829911,5.0,-2.0
first,wilson,0.822836,-1.0,4.0
first,grass,0.85946,1.5,3.0
first,sapling,0.858629,2.5,0.0
first,tree_evergreen_1,0.823073,2.5,1.0
first,wilson,0.803459,-1.0,8.0
first,sapling,0.857751,0.5,4.0
first,grass,0.857585,2.0,4.0
first,wilson,0.821274,-1.5,7.0
first,tree_evergreen_1,0.58121,3.0,2.0
first,grass,0.819371,-1.0,5.0
first,flint,0.796831,-3.0,1.0
first,wilson,0.76061,2.5,0.0
first,grass_picked,0.757008,-2.5,3.0
first,grass,0.855205,1.5,0.0
first,tree_evergreen_3,0.849452,-1.5,7.0
first,sapling,0.849358,0.5,5.0
first,tree_evergreen_2,0.849074,-0.5,5.0
first,tree_evergreen_2,0.832651,1.0,10.0
first,wilson,0.818351,-1.0,0.0
first,sapling,0.816169,1.5,0.0
first,tree_evergreen_2,0.808442,0.0,6.0
first,berry_bush,0.795121,1.0,-4.0
first,flint,0.791216,-0.5,4.0
first,grass_picked,0.735926,-0.5,2.0
first,grass,0.714135,0.5,-2.0
first,sapling,0.603182,5.0,2.0
first,flint,0.34507,-0.5,2.0
first,grass,0.856124,3.0,3.0
first,grass,0.848245,0.0,1.0
first,tree_evergreen_1,0.844181,3.5,5.0
first,sapling,0.833039,0.0,4.0
first,sapling,0.826984,1.5,4.0
first,grass,0.825855,4.0,5.0
first,tree_evergreen_2,0.822771,2.0,9.0
first,grass,0.813145,3.0,3.0
first,tree_evergreen_2,0.806359,0.0,7.0
first,flint,0.802527,-0.5,0.0
first,wilson,0.800476,-4.5,4.0
first,flint,0.800236,-1.0,4.0
first,tree_evergreen_1,0.798612,0.5,4.0
first,grass,0.797641,0.5,6.0
first,sapling,0.865193,3.0,5.0
first,sapling,0.845815,1.5,3.0
first,grass,0.842356,0.0,5.0
first,grass,0.834328,3.0,-1.0
first,grass,0.833622,-1.0,8.0
first,flint,0.832046,0.5,4.0
first,tree_evergreen_2,0.825909,-0.5,1.0
first,tree_evergreen_1,0.820263,4.0,7.0
first,flint,0.809284,0.5,3.0
first,flint,0.807031,-1.0,3.0
first,sapling_picked,0.791888,1.5,5.0
first,wilson,0.781968,0.0,3.0
first,grass,0.76746,3.0,4.0
first,sapling,0.870666,0.0,6.0
first,berry_bush,0.862052,2.0,6.0
