seed,num_landmarks,trajectory_name,u_noise,h_noise,correct_match_count,wrong_match_count,bad_new_creation_count,new_object_match_count
445,0,square_1,"[0.1, 0.1]","[2.0, 3.0]",0,0,0,0
445,0,square_1,"[0.1, 0.1]","[20.0, 25.0]",0,0,0,0
445,0,square_1,"[0.1, 0.1]","[40.0, 50.0]",0,0,0,0
445,0,square_1,"[0.5, 0.5]","[2.0, 3.0]",0,0,0,0
445,0,square_1,"[0.5, 0.5]","[20.0, 25.0]",0,0,0,0
445,0,square_1,"[0.5, 0.5]","[40.0, 50.0]",0,0,0,0
445,0,square_1,"[1, 1]","[2.0, 3.0]",0,0,0,0
445,0,square_1,"[1, 1]","[20.0, 25.0]",0,0,0,0
445,0,square_1,"[1, 1]","[40.0, 50.0]",0,0,0,0
445,0,square_1,"[2, 2]","[2.0, 3.0]",0,0,0,0
445,0,square_1,"[2, 2]","[20.0, 25.0]",0,0,0,0
445,0,square_1,"[2, 2]","[40.0, 50.0]",0,0,0,0
445,0,square_2,"[0.1, 0.1]","[2.0, 3.0]",0,0,0,0
445,0,square_2,"[0.1, 0.1]","[20.0, 25.0]",0,0,0,0
445,0,square_2,"[0.1, 0.1]","[40.0, 50.0]",0,0,0,0
445,0,square_2,"[0.5, 0.5]","[2.0, 3.0]",0,0,0,0
445,0,square_2,"[0.5, 0.5]","[20.0, 25.0]",0,0,0,0
445,0,square_2,"[0.5, 0.5]","[40.0, 50.0]",0,0,0,0
445,0,square_2,"[1, 1]","[2.0, 3.0]",0,0,0,0
445,0,square_2,"[1, 1]","[20.0, 25.0]",0,0,0,0
445,0,square_2,"[1, 1]","[40.0, 50.0]",0,0,0,0
445,0,square_2,"[2, 2]","[2.0, 3.0]",0,0,0,0
445,0,square_2,"[2, 2]","[20.0, 25.0]",0,0,0,0
445,0,square_2,"[2, 2]","[40.0, 50.0]",0,0,0,0
445,0,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",0,0,0,0
445,0,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",0,0,0,0
445,0,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",0,0,0,0
445,0,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",0,0,0,0
445,0,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",0,0,0,0
445,0,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",0,0,0,0
445,0,spiral_1,"[1, 1]","[2.0, 3.0]",0,0,0,0
445,0,spiral_1,"[1, 1]","[20.0, 25.0]",0,0,0,0
445,0,spiral_1,"[1, 1]","[40.0, 50.0]",0,0,0,0
445,0,spiral_1,"[2, 2]","[2.0, 3.0]",0,0,0,0
445,0,spiral_1,"[2, 2]","[20.0, 25.0]",0,0,0,0
445,0,spiral_1,"[2, 2]","[40.0, 50.0]",0,0,0,0
445,0,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",0,0,0,0
445,0,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",0,0,0,0
445,0,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",0,0,0,0
445,0,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",0,0,0,0
445,0,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",0,0,0,0
445,0,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",0,0,0,0
445,0,spiral_2,"[1, 1]","[2.0, 3.0]",0,0,0,0
445,0,spiral_2,"[1, 1]","[20.0, 25.0]",0,0,0,0
445,0,spiral_2,"[1, 1]","[40.0, 50.0]",0,0,0,0
445,0,spiral_2,"[2, 2]","[2.0, 3.0]",0,0,0,0
445,0,spiral_2,"[2, 2]","[20.0, 25.0]",0,0,0,0
445,0,spiral_2,"[2, 2]","[40.0, 50.0]",0,0,0,0
445,3,square_1,"[0.1, 0.1]","[2.0, 3.0]",5,0,0,0
445,3,square_1,"[0.1, 0.1]","[20.0, 25.0]",4,0,1,0
445,3,square_1,"[0.1, 0.1]","[40.0, 50.0]",3,0,2,0
445,3,square_1,"[0.5, 0.5]","[2.0, 3.0]",3,0,0,0
445,3,square_1,"[0.5, 0.5]","[20.0, 25.0]",2,0,1,0
445,3,square_1,"[0.5, 0.5]","[40.0, 50.0]",1,0,2,0
445,3,square_1,"[1, 1]","[2.0, 3.0]",4,0,0,0
445,3,square_1,"[1, 1]","[20.0, 25.0]",3,0,1,0
445,3,square_1,"[1, 1]","[40.0, 50.0]",2,0,2,0
445,3,square_1,"[2, 2]","[2.0, 3.0]",3,0,0,0
445,3,square_1,"[2, 2]","[20.0, 25.0]",2,0,1,0
445,3,square_1,"[2, 2]","[40.0, 50.0]",2,0,1,0
445,3,square_2,"[0.1, 0.1]","[2.0, 3.0]",0,0,0,0
445,3,square_2,"[0.1, 0.1]","[20.0, 25.0]",0,0,0,0
445,3,square_2,"[0.1, 0.1]","[40.0, 50.0]",0,0,0,0
445,3,square_2,"[0.5, 0.5]","[2.0, 3.0]",0,0,0,0
445,3,square_2,"[0.5, 0.5]","[20.0, 25.0]",0,0,0,0
445,3,square_2,"[0.5, 0.5]","[40.0, 50.0]",0,0,0,0
445,3,square_2,"[1, 1]","[2.0, 3.0]",0,0,0,0
445,3,square_2,"[1, 1]","[20.0, 25.0]",0,0,0,0
445,3,square_2,"[1, 1]","[40.0, 50.0]",0,0,0,0
445,3,square_2,"[2, 2]","[2.0, 3.0]",0,0,0,0
445,3,square_2,"[2, 2]","[20.0, 25.0]",0,0,0,0
445,3,square_2,"[2, 2]","[40.0, 50.0]",0,0,0,0
445,3,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",133,0,0,0
445,3,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",133,0,0,0
445,3,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",127,0,6,0
445,3,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",130,0,0,0
445,3,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",130,0,0,0
445,3,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",124,0,6,0
445,3,spiral_1,"[1, 1]","[2.0, 3.0]",125,0,0,0
445,3,spiral_1,"[1, 1]","[20.0, 25.0]",124,0,1,0
445,3,spiral_1,"[1, 1]","[40.0, 50.0]",120,0,5,0
445,3,spiral_1,"[2, 2]","[2.0, 3.0]",129,0,0,0
445,3,spiral_1,"[2, 2]","[20.0, 25.0]",127,0,2,0
445,3,spiral_1,"[2, 2]","[40.0, 50.0]",124,0,5,0
445,3,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",0,0,0,0
445,3,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",0,0,0,0
445,3,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",0,0,0,0
445,3,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",0,0,0,0
445,3,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",0,0,0,0
445,3,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",0,0,0,0
445,3,spiral_2,"[1, 1]","[2.0, 3.0]",0,0,0,0
445,3,spiral_2,"[1, 1]","[20.0, 25.0]",0,0,0,0
445,3,spiral_2,"[1, 1]","[40.0, 50.0]",0,0,0,0
445,3,spiral_2,"[2, 2]","[2.0, 3.0]",0,0,0,0
445,3,spiral_2,"[2, 2]","[20.0, 25.0]",0,0,0,0
445,3,spiral_2,"[2, 2]","[40.0, 50.0]",0,0,0,0
445,20,square_1,"[0.1, 0.1]","[2.0, 3.0]",450,0,0,0
445,20,square_1,"[0.1, 0.1]","[20.0, 25.0]",445,0,5,0
445,20,square_1,"[0.1, 0.1]","[40.0, 50.0]",423,0,27,0
445,20,square_1,"[0.5, 0.5]","[2.0, 3.0]",449,0,0,0
445,20,square_1,"[0.5, 0.5]","[20.0, 25.0]",445,0,4,0
445,20,square_1,"[0.5, 0.5]","[40.0, 50.0]",420,0,29,0
445,20,square_1,"[1, 1]","[2.0, 3.0]",470,0,0,0
445,20,square_1,"[1, 1]","[20.0, 25.0]",465,0,5,0
445,20,square_1,"[1, 1]","[40.0, 50.0]",448,0,22,0
445,20,square_1,"[2, 2]","[2.0, 3.0]",492,0,0,0
445,20,square_1,"[2, 2]","[20.0, 25.0]",484,0,8,0
445,20,square_1,"[2, 2]","[40.0, 50.0]",463,0,29,0
445,20,square_2,"[0.1, 0.1]","[2.0, 3.0]",470,0,0,0
445,20,square_2,"[0.1, 0.1]","[20.0, 25.0]",466,0,4,0
445,20,square_2,"[0.1, 0.1]","[40.0, 50.0]",453,0,17,0
445,20,square_2,"[0.5, 0.5]","[2.0, 3.0]",470,0,0,0
445,20,square_2,"[0.5, 0.5]","[20.0, 25.0]",465,0,5,0
445,20,square_2,"[0.5, 0.5]","[40.0, 50.0]",449,0,21,0
445,20,square_2,"[1, 1]","[2.0, 3.0]",477,0,0,0
445,20,square_2,"[1, 1]","[20.0, 25.0]",473,0,4,0
445,20,square_2,"[1, 1]","[40.0, 50.0]",457,0,20,0
445,20,square_2,"[2, 2]","[2.0, 3.0]",464,0,0,0
445,20,square_2,"[2, 2]","[20.0, 25.0]",459,0,5,0
445,20,square_2,"[2, 2]","[40.0, 50.0]",444,0,20,0
445,20,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",766,0,2,0
445,20,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",757,0,11,0
445,20,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",725,0,43,0
445,20,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",773,0,0,0
445,20,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",763,0,10,0
445,20,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",736,0,37,0
445,20,spiral_1,"[1, 1]","[2.0, 3.0]",778,0,0,0
445,20,spiral_1,"[1, 1]","[20.0, 25.0]",768,0,10,0
445,20,spiral_1,"[1, 1]","[40.0, 50.0]",739,0,39,0
445,20,spiral_1,"[2, 2]","[2.0, 3.0]",816,0,0,0
445,20,spiral_1,"[2, 2]","[20.0, 25.0]",806,0,10,0
445,20,spiral_1,"[2, 2]","[40.0, 50.0]",777,0,39,0
445,20,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",449,0,0,0
445,20,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",442,0,7,0
445,20,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",429,0,20,0
445,20,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",443,0,0,0
445,20,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",437,0,6,0
445,20,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",422,0,21,0
445,20,spiral_2,"[1, 1]","[2.0, 3.0]",448,0,0,0
445,20,spiral_2,"[1, 1]","[20.0, 25.0]",443,0,5,0
445,20,spiral_2,"[1, 1]","[40.0, 50.0]",425,0,23,0
445,20,spiral_2,"[2, 2]","[2.0, 3.0]",451,0,0,0
445,20,spiral_2,"[2, 2]","[20.0, 25.0]",446,0,5,0
445,20,spiral_2,"[2, 2]","[40.0, 50.0]",429,0,22,0
445,50,square_1,"[0.1, 0.1]","[2.0, 3.0]",1777,0,6,0
445,50,square_1,"[0.1, 0.1]","[20.0, 25.0]",1758,0,25,0
445,50,square_1,"[0.1, 0.1]","[40.0, 50.0]",1688,9,86,0
445,50,square_1,"[0.5, 0.5]","[2.0, 3.0]",1772,0,5,0
445,50,square_1,"[0.5, 0.5]","[20.0, 25.0]",1745,0,32,0
445,50,square_1,"[0.5, 0.5]","[40.0, 50.0]",1681,0,96,0
445,50,square_1,"[1, 1]","[2.0, 3.0]",1780,0,4,0
445,50,square_1,"[1, 1]","[20.0, 25.0]",1756,0,28,0
445,50,square_1,"[1, 1]","[40.0, 50.0]",1681,6,97,0
445,50,square_1,"[2, 2]","[2.0, 3.0]",1814,0,3,0
445,50,square_1,"[2, 2]","[20.0, 25.0]",1790,0,27,0
445,50,square_1,"[2, 2]","[40.0, 50.0]",1720,1,96,0
445,50,square_2,"[0.1, 0.1]","[2.0, 3.0]",1356,0,3,0
445,50,square_2,"[0.1, 0.1]","[20.0, 25.0]",1342,0,17,0
445,50,square_2,"[0.1, 0.1]","[40.0, 50.0]",1301,1,57,0
445,50,square_2,"[0.5, 0.5]","[2.0, 3.0]",1355,0,2,0
445,50,square_2,"[0.5, 0.5]","[20.0, 25.0]",1342,0,15,0
