handle_detected_objects_queue,handle_segmentation_queue,update_clock,update_world_model,update_player_model,slam_predict,use_received_yolo_info,use_received_segmentation_info,total
0,2999300,0,0,0,0,69728400,23468800,96196500
999300,11524400,0,0,0,0,51085400,20991700,84600800
0,0,0,0,0,0,0,0,0
0,1506400,0,0,1006900,0,20555100,20535000,43603400
0,0,0,0,0,0,17553200,0,17553200
0,1509600,0,0,0,0,20072900,22577400,44159900
0,0,0,0,0,996900,36457600,0,37454500
0,2003600,0,0,0,0,0,17365700,20369000
0,0,0,0,0,0,21996800,0,21996800
0,2501700,0,0,0,0,14394200,19140700,36036600
0,0,0,0,0,0,16363500,0,16363500
0,3000100,0,0,0,0,29602000,17331000,49933100
0,0,0,0,0,0,0,0,0
506900,1009500,0,0,997400,0,22906200,20051800,45471800
126000,0,0,0,0,0,21701100,0,21827100
0,2506200,0,0,0,0,29939100,20467800,52913100
871300,0,0,0,0,0,17031100,0,17902400
0,2322200,0,0,0,0,30708200,24871900,57902300
5001400,0,0,998000,0,0,0,0,5999400
0,1008800,0,0,0,0,25571800,20045700,46626300
0,1001100,0,0,0,0,30725200,0,31726300
0,2030800,0,0,0,0,27913900,20134000,50078700
0,0,0,0,0,0,29949300,0,29949300
0,1998800,0,0,0,0,0,21142100,24139700
0,0,0,0,0,0,23719900,0,23719900
0,2009800,0,0,0,0,17893700,20037900,39941400
0,0,0,0,0,0,21126500,0,21126500
0,1504900,0,0,0,0,27759500,21142900,50407300
0,0,0,0,0,0,0,0,0
0,2002000,0,0,0,0,27789300,22293000,53088500
0,0,0,0,0,0,17029200,0,17029200
0,2001000,0,0,0,0,18488900,19168000,39657900
0,1994700,0,0,0,0,29769800,20406000,52170500
508200,0,0,0,0,0,16630200,0,17138400
0,1471600,0,0,0,1008500,17609300,19264100,39353500
0,0,0,0,0,0,12325800,0,12325800
0,999200,0,0,0,1509300,0,17776000,20284500
0,0,0,0,0,0,10517500,0,11520700
0,1003700,0,0,0,0,14027200,20636200,36673800
0,0,0,0,0,0,29854100,0,29854100
0,1998600,0,0,0,0,12562700,19038900,33600200
0,0,0,0,0,1000900,8498000,0,9498900
0,3001200,0,0,0,0,21036700,22782300,46820200
0,0,0,0,0,0,9279000,0,9279000
0,2001000,0,0,0,0,6516700,15775300,24293000
0,0,0,0,0,0,7537600,0,7537600
0,1999900,0,0,0,0,8772300,17875200,28647400
0,3008200,0,0,0,0,22841900,22422900,48273000
0,0,0,0,0,0,0,0,0
0,2390800,0,0,0,0,8945300,19044800,30380900
0,0,0,0,1003300,1007200,0,0,2010500
0,2079000,0,0,1005000,1000200,8521500,21681800,34287500
0,0,0,0,2000500,0,8530700,0,10531200
0,993600,0,0,2472100,0,10816500,22990300,37272500
0,0,0,0,1428100,0,10516600,0,11944700
515000,2009000,0,0,2000900,0,6516300,20789800,31831000
0,0,0,0,1999000,0,9405300,0,11404300
0,1119400,0,0,1999000,0,8514200,14037700,25670300
0,0,0,0,3009800,0,8729800,0,11739600
0,1479400,0,0,2005200,0,9041200,20623500,34149500
511600,0,0,0,2011800,0,11630700,0,14154100
508300,1011200,0,0,1502600,0,9516400,20054700,32593200
0,0,0,0,1998200,0,6007200,0,8005400
0,2000100,0,0,999400,0,9512500,18031800,30543800
0,0,0,0,1002800,999200,0,0,2002000
0,2002100,0,0,998100,0,9523800,20440900,32964900
0,0,0,0,2011700,0,9762700,0,11774400
0,1512800,0,0,1006200,0,7503900,17111100,27134000
0,0,0,0,2273700,0,8222500,0,10496200
0,2000000,0,0,1508900,0,9518600,22907400,35934900
0,0,0,0,1789600,0,6903200,0,8692800
0,1233000,0,0,1504000,0,19979900,18469400,41186300
0,0,0,0,1997300,0,23146900,0,25144200
0,2004800,0,0,1000200,0,23049000,21638000,47692000
0,0,0,0,2178900,0,11526900,0,13705800
0,1936100,0,0,2007700,0,8497300,20910400,33351500
0,0,0,0,2453000,0,9598100,0,12051100
0,1999300,0,0,999900,0,9566300,20113200,32678700
0,0,0,0,1128700,0,0,0,2133700
0,2043000,0,0,1027800,0,9756400,19323600,32150800
0,0,0,0,2001300,0,10607000,0,12608300
0,1999900,0,0,1998500,0,8104700,17818600,29921700
