screenshot,hide_huds,process_frame,create_objects,put_in_debug_queue
23430200,1507700,73289300,0,288657000
30145500,1142000,63343700,0,20331300
32879400,2515900,56501600,0,20616500
35578400,999100,63417000,0,22481800
30730700,1006500,60575500,0,23093000
43911700,1009000,57511600,0,19780400
44194400,999100,65172600,0,21971500
27077900,2084900,57566000,0,23599300
37207500,1574300,59882700,0,23258700
31924800,998300,63891200,0,22345700
43729700,1997800,63009100,0,21778500
29372700,2001100,70999800,0,25653300
36054200,2495600,72673600,0,26804200
31324200,2005400,67742500,0,27150600
34130800,2000200,69258200,0,31819500
34626600,2014000,62120600,0,26828100
39063200,1514600,64916100,0,28555200
40063900,1999900,66067400,0,30095500
40614000,997800,65342500,0,27566200
38080900,1395000,62830900,0,28206400
38724400,999500,65341000,0,24742000
37315700,1999300,69145100,1000800,25630900
36670200,1000600,66955700,0,21551900
50460800,2006500,58414000,0,26446600
36895400,999800,57613900,0,28335400
45756100,1581700,55103900,1504900,26449000
39122000,2551100,59644300,0,27603000
36722600,2519700,67464100,0,30074200
31131800,2006800,59940200,0,28333300
28221400,2514200,56147000,0,23092100
36185500,998400,59443000,0,23279800
33801000,1999000,61022700,0,20798900
29803100,1539900,56768500,0,26250800
35655900,1504900,60105000,0,27933400
43524000,2008000,66441000,0,23925300
37658000,1997100,53446300,0,24773100
38089400,2052400,60700500,0,26419700
28505600,1000200,57389000,0,27020000
30220500,1997100,60049600,0,28844400
40148000,1998100,62532600,0,25972400
26879800,2004000,54488900,0,26608600
32477700,1505800,57468300,0,24868800
31209600,1998400,59013100,0,26525900
30012300,2007300,55735100,0,26913100
34061300,2006400,66060800,0,22985200
41751900,2005100,57433200,0,23113400
35167000,2011700,57872800,0,24653800
29635200,1041000,56895800,0,25811600
33697400,2005500,54705900,0,25419600
32800100,2261900,64073800,0,25043300
44037100,1011200,64884700,0,26883500
39801900,2443200,57746800,0,27327000
34588200,999700,64452700,0,27339100
35894400,2001100,57513600,1001500,27155300
29312400,2225000,56423100,0,23736800
30951800,999000,60570300,0,25345300
30383800,2001100,63234100,0,24694900
42638300,2001200,57706000,0,28700700
34906700,952500,65744400,0,33215800
46653000,1000800,79604400,0,33789100
37403000,1506900,61768900,0,36073800
29601900,2507300,60144200,0,31138000
39283200,1006600,61422000,0,38100000
40881400,2009800,62602500,0,37004100
44460000,1000100,79395600,0,44036600
39264800,2005400,64427500,0,41102800
45917200,2114400,61849200,0,40945000
46898600,1000100,80427000,0,38950500
45237100,1999700,54462400,0,42332200
33030300,1290800,57586600,0,38865300
37798900,1005500,67423500,0,41817000
36489900,1131900,59539700,0,40563300
32280200,1512400,57465700,0,43009500
34417100,2003600,63554700,0,42684700
36191400,1000000,58994100,0,44963000
41017800,2518800,87242900,0,41781800
38205000,1687500,55958600,0,35898000
41156200,2002300,59722000,0,38745000
35041500,0,71643400,0,43137300
47140800,2019000,63156700,0,43423000
32639500,1998700,57386400,0,45441100
34963400,999900,77379500,0,45054500
40088000,1996600,63822800,0,45059300
40120300,1537600,67586500,0,45808600
39500600,2021400,84578900,0,48858400
42178600,2057100,68091500,0,44366300
33680800,999500,63726700,0,45374200
42114400,2006700,82867000,0,48570000
32910200,998400,69762900,0,43971300
34151200,1514800,64421900,0,46035800
42045900,2004300,85706400,0,46087100
29479900,2000200,67716500,0,45949300
37805800,2015100,67339800,0,47336000
34015600,2149500,87894300,0,45184700
30568100,998600,66376000,0,46334000
41182500,2010700,64497500,0,47337400
37104700,2061700,93933000,0,47181300
31170800,1508300,66093300,0,42830800
39409100,1006000,64448100,0,41102000
43475500,998400,84291800,0,43845400
34894600,1997800,59116400,1011100,48672500
39888600,2003100,61148500,0,44772700
30315400,2007800,85222500,0,46351000
43340300,2499500,61322800,0,42100800
28765900,1999200,57886200,999800,40711700
42350600,1001000,60855900,1504900,42030100
50167500,997400,61814800,0,43875800
28303200,1006900,66801600,0,41228700
39242500,1000000,57815200,0,36792200
39558400,1006400,59631800,0,38905400
36716600,1166600,85396000,0,47111000
34084700,999300,63385700,0,44035300
35888000,2008400,58969700,0,35373900
40647800,999400,67809100,1006500,38415900
39508600,1997200,55491500,0,37980200
36186500,1000000,68453100,0,34252900
31197700,1005400,58659700,0,36659600
36194400,2000400,59695300,0,41402500
28489100,1999200,56504200,0,36946300
33380800,997500,75817500,0,39229700
43424800,1299700,81023500,0,35582500
28215800,2008600,61775700,0,38287500
34472400,1999700,59464300,0,36059600
34392200,995600,73337000,0,37861200
35693900,999000,64502100,0,33074900
32223600,1998900,60035300,0,32711600
42939000,1436200,67025500,0,36926000
32711800,1467400,62840900,0,39278200
39594200,1000900,82245300,0,37141700
29996600,999600,59931200,0,36728800
36660400,1009100,67383900,0,35527900
29379200,1999800,58187100,0,40663400
33772200,1507300,61043900,0,35517000
35211100,995200,79686200,0,38315000
39276700,1010500,60208100,0,36732200
43030600,1006800,60770700,0,41177600
33627800,997800,71012700,0,40253100
34288600,1999800,63208300,0,40632500
31080300,1005200,71162400,0,40320900
31348700,999400,65058000,0,34940200
34959600,998200,61806600,0,43222000
35526900,1997100,86416900,0,40097400
29674500,2010800,59496000,0,38692300
31394600,2000300,64550500,0,37604100
30508100,999400,59465800,0,37877200
35373000,1010500,62308200,0,41015800
30418400,1999300,64352400,0,39861700
43381500,996700,64845300,0,37167300
32413800,2016800,62071600,0,40096200
41779000,1998400,65654900,998800,36971000
34114900,999600,64325400,0,41534000
40069500,997600,84243400,0,39633000
40050200,2181100,64786700,0,40983100
40296200,1999200,63648100,0,43673200
45713100,2008300,81636900,0,42602100
37750900,999800,64101300,0,41449700
41806000,1998100,66184200,0,43209800
