screenshot,process_frame,put_in_debug_queue
32635500,423719700,5020400
53905000,280518900,998400
33374300,190037000,0
27773500,217826800,0
51186000,200046700,1006300
33735400,180663300,0
29891500,182269800,999600
34425900,178341900,0
35484800,177874400,0
40210000,189891000,0
38694400,184779800,1003800
31831700,192372400,0
49135900,180963400,0
40071200,181013200,0
36028400,162916700,0
36430100,172634100,0
28947800,166161900,0
33830600,171059000,1004500
26701800,161349100,1014800
36195200,169417500,0
46130900,182393900,0
38473300,168913800,0
29304700,172731900,0
39404900,170228100,0
34357400,162260300,0
30742800,166879900,0
32712500,172148400,0
45860600,169277700,0
47087900,169247800,0
31856500,170073100,0
30927500,175965300,997400
33755800,175488300,0
37478800,172010700,0
35524400,182796500,0
47552000,179629200,0
32635900,181927000,0
35555100,180954000,0
36656700,179061400,0
37091200,187003300,0
27069000,182710500,0
38164000,182717900,0
30409100,193878200,0
36772800,187087900,1050800
29055100,171343200,1001600
30047800,188819200,0
47734900,179694800,0
32113000,184276900,997200
29594900,196106900,0
39123500,185635100,0
32069000,182984300,0
30337900,184100100,0
27772400,184727800,0
31313100,186331200,999400
34229900,185773200,999700
27414300,185755000,0
26024500,186551600,0
28139700,188990000,0
34865000,186281200,0
45957200,198968800,0
34328200,187863500,0
25169700,213118600,0
36712400,192965400,996900
36893300,202740300,1005000
30874300,187478300,0
29007800,199699000,0
30175900,205772500,0
29067900,196922800,0
41886100,198383900,999300
26391700,189300600,0
28150800,179659800,0
37539300,186909700,0
33582300,178477100,0
32294100,192917900,0
37151500,180225600,0
40022600,215384600,0
32255300,206641900,1000200
28684000,190829700,1362600
41331400,178683000,0
35670100,197093800,0
32573400,186171900,0
34149500,188285900,1000100
39171400,195110400,0
38286100,203011800,0
28837400,191549400,0
27318300,185272900,0
28465300,186341900,0
28628700,192311900,0
40744500,186124200,0
35580300,192037600,0
38529000,193473200,0
35819500,183476000,0
35942600,185775100,0
46288600,194419800,0
45101800,194591400,0
31128100,211108500,0
39965400,212683200,999800
30897700,215961400,0
36969900,203727600,0
44845200,199106100,0
36811000,177761600,0
31152100,176314600,1005400
41455600,195724600,1010200
38287400,182627000,0
29276400,183841600,994200
49736700,175373000,1009500
41314700,196953900,0
32000900,191830100,0
24009000,192724500,0
26341100,200633500,999700
36162500,183170800,0
29724800,202158800,0
29557500,187331500,0
32955000,211842900,0
33157000,193889400,0
42899800,206107100,0
40643300,189193300,0
42719700,185890300,0
50089700,181940800,0
49051300,188360500,1001400
44252600,187079000,999900
26271600,184064900,1580700
27119000,182918400,0
37741100,202030900,0
28172800,183843700,0
32202300,193642200,0
39940300,184344100,0
27208000,194343000,0
28346800,212492000,1000000
53085700,196748100,0
32540000,205738300,1000200
31467600,193310200,0
35801300,200402400,0
36203600,187653900,0
43833200,198137700,0
30603800,193262900,1004700
40352800,189479700,1001400
26553800,205358900,1000200
42135000,193323000,0
36770000,191473400,0
40492300,204026800,0
48149000,195978800,0
37696600,196989700,0
40948800,205450600,0
51930700,192973300,0
42974100,202913000,0
42049700,223115100,0
32592400,216334100,0
27649000,195580400,0
37192600,181235500,0
34711100,196220500,0
34364900,181929600,0
33371800,186197800,0
30321100,179342200,0
44207000,188625600,1010100
34865400,200682900,997900
37069500,186371300,0
44083500,182058900,1505000
35804900,202423200,0
30918100,182951900,0
27485200,190561900,0
44482500,179973700,0
34348200,181320700,0
33961100,191944500,0
42247300,186901400,0
25816400,203979800,0
31715500,199683800,0
28013600,218072900,0
30678000,210953300,999500
42662100,204205400,0
39230800,196173600,0
39568400,189583800,0
44769900,198959900,0
31907100,209156800,0
45438000,195150300,0
30270600,176455000,1000600
43118400,195049100,0
33049200,180739900,0
33666000,186550700,0
28953100,181119600,0
36798200,202866400,0
35131800,207341500,0
37669500,201696100,0
28973100,196569000,1316500
38800900,204927700,0
45049800,224160900,0
42389600,203406200,1003900
47257800,217662600,0
28257600,218514100,0
29206900,204997200,0
26492300,199532600,0
32979100,194157600,0
42581200,213103700,0
32244500,214382900,999700
38299500,233158700,0
48379500,204948200,1009500
45116500,200397900,0
32084200,213553700,0
29653100,216779600,0
35562800,199673700,0
33396200,215770000,1009100
35948200,193637200,0
33728500,204489700,0
27093600,178583800,0
41324500,191267800,0
41612300,187589800,0
27177400,190487600,1520400
44275000,190732900,0
40880600,173899100,0
35620500,178720900,0
38388300,197383600,0
36511000,177501700,0
43204700,187074100,0
39581800,181466100,0
35446700,203224400,0
24706500,172184800,0
27049300,174226200,0
29557800,185281500,0
43288000,180210700,0
37201500,184353900,0
32740000,179259900,0
38433500,186264400,0
28197900,173867400,1127700
