type,time
update,0
decide_player_position,920300
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
start_cycle,0
local_to_global_position,0
handle_object_at_position,9933600
finish_cycle,0
warp_image_to_ground,7021500
process_segmentation_image,19405200
"get_all_of ['CutGrass', 'Twigs', 'Grass', 'Sapling']",0
"get_all_of ['Treeguard', 'KillerBee', 'Frog', 'Hound', 'IceHound', 'FireHound', 'Spider', 'SpiderWarrior', 'Tallbird', 'Ghost', 'GuardianPig', 'Merm', 'Tentacle', 'ClockRook', 'ClockKnight', 'ClockBishop', 'Nightmare1', 'Nightmare2', 'Werepig', 'Mosquito']",0
get_closest_unexplored_chunk,0
update,0
decide_player_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
start_cycle,1260600
local_to_global_position,0
handle_object_at_position,1007700
finish_cycle,0
warp_image_to_ground,2512300
process_segmentation_image,17648500
"get_all_of ['CutGrass', 'Twigs', 'Grass', 'Sapling']",0
"get_all_of ['Treeguard', 'KillerBee', 'Frog', 'Hound', 'IceHound', 'FireHound', 'Spider', 'SpiderWarrior', 'Tallbird', 'Ghost', 'GuardianPig', 'Merm', 'Tentacle', 'ClockRook', 'ClockKnight', 'ClockBishop', 'Nightmare1', 'Nightmare2', 'Werepig', 'Mosquito']",0
update,0
decide_player_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
local_to_global_position,0
start_cycle,1000900
local_to_global_position,0
handle_object_at_position,0
finish_cycle,0
warp_image_to_ground,1956900
process_segmentation_image,17953700
"get_all_of ['CutGrass', 'Twigs', 'Grass', 'Sapling']",0
"get_all_of ['Treeguard', 'KillerBee', 'Frog', 'Hound', 'IceHound', 'FireHound', 'Spider', 'SpiderWarrior', 'Tallbird', 'Ghost', 'GuardianPig', 'Merm', 'Tentacle', 'ClockRook', 'ClockKnight', 'ClockBishop', 'Nightmare1', 'Nightmare2', 'Werepig', 'Mosquito']",0
update,0
"get_all_of ['CutGrass', 'Twigs', 'Grass', 'Sapling']",0
